,Baseline,Vol_0.2_Lev_1.0,Vol_0.2_Lev_1.5,Vol_0.2_Lev_2.0,Vol_0.3_Lev_1.0,Vol_0.3_Lev_1.5,Vol_0.3_Lev_2.0,Vol_0.4_Lev_1.0,Vol_0.4_Lev_1.5,Vol_0.4_Lev_2.0
Total Return (%),-61.64395773980107,-18.206895068105954,-18.206895068105954,-18.206895068105954,-28.908601536209556,-28.908601536209556,-28.908601536209556,-39.652002868712884,-39.83402872749804,-39.83402872749804
Annual Return (%),-17.07358959726268,-5.051052234885603,-5.051052234885603,-5.051052234885603,-7.533359599304805,-7.533359599304805,-7.533359599304805,-9.898906389867099,-9.997144149223564,-9.997144149223564
Volatility (%),56.736896552755525,19.585651259613797,19.585651259613797,19.585651259613797,29.378115793358074,29.378115793358074,29.378115793358074,39.15542746201342,39.17048723350568,39.17048723350568
Sharpe Ratio,-0.3009256874208336,-0.2578955464861679,-0.2578955464861679,-0.2578955464861679,-0.2564275957074136,-0.2564275957074136,-0.2564275957074136,-0.25281058161018694,-0.2552213376777248,-0.2552213376777248
Max Drawdown (%),87.33868926912452,44.70399879094265,44.70399879094265,44.70399879094265,59.72060731720528,59.72060731720528,59.72060731720528,71.22705865048107,71.22705865048107,71.22705865048107
