run,script,symbol,start_date,end_date,granularity,trend_filter_window,sl_atr,tsl_atr,wfo_test_days,wfo_window_years,oos_mean_sharpe,oos_mean_return,oos_mean_drawdown,oos_std_sharpe,oos_std_return,oos_std_drawdown,error
34,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,1.5,2.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
35,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,1.5,3.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
36,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,1.5,3.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
37,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.0,2.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
38,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.0,2.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
39,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.0,3.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
40,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.0,3.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
42,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.5,2.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
43,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.5,3.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
44,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,2.5,3.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
47,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,3.0,3.0,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
48,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,1d,100,3.0,3.5,180,2.0,0.1109447070203111,0.002126244947903459,0.030790257478152644,0.4550731779204057,0.006788581628004709,0.025937113768207634,
65,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,1.5,2.0,180,2.0,,,,,,,Report file not found
66,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,1.5,2.5,180,2.0,,,,,,,Report file not found
67,backtest_stoch_sma_vbt_pro.py,BTC-USD,2020-01-01,2025-04-15,4h,0,1.5,3.0,180,2.0,,,,,,,Report file not found
